Rank,Release Date,Movie Title,Production Budget ($),Worldwide Gross ($),Domestic Gross ($),
4840,6/1/2012,The Devil Inside,"$1,000,000","$101,759,490","$53,262,945",
4841,7/10/1963,Tom Jones,"$1,000,000","$37,600,000","$37,600,000",
4842,4/17/2015,Unfriended,"$1,000,000","$62,561,449","$32,482,090",
4843,8/2/1976,Taxi Driver,"$1,000,000","$28,316,211","$28,262,574",
4844,5/24/2006,An Inconvenient Truth,"$1,000,000","$52,769,915","$24,146,161",
4845,1/2/1980,The Fog,"$1,000,000","$21,378,361","$21,378,361",
4846,5/25/2012,Chernobyl Diaries,"$1,000,000","$42,411,721","$18,119,640",
4847,10/4/1981,The Howling,"$1,000,000","$17,985,000","$17,985,000",
4848,8/5/1963,Dr. No,"$1,000,000","$59,567,035","$16,067,035",
4849,9/18/1987,Hellraiser,"$1,000,000","$14,564,000","$14,564,000",
4850,9/16/2005,Cry Wolf,"$1,000,000","$15,943,081","$10,047,674",
4851,8/18/2000,Godzilla 2000,"$1,000,000","$10,037,390","$10,037,390",
4852,12/29/2010,Blue Valentine,"$1,000,000","$16,566,240","$9,737,892",
4853,1/20/2006,Transamerica,"$1,000,000","$16,553,163","$9,015,303",
4854,1/1/1970,Beyond the Valley of the Dolls,"$1,000,000","$9,000,000","$9,000,000",
4855,1/1/1956,Love Me Tender,"$1,000,000","$9,000,000","$9,000,000",
4856,1/1/1949,Sands of Iwo Jima,"$1,000,000","$7,800,000","$7,800,000",
4857,9/25/2015,The Green Inferno,"$1,000,000","$12,931,569","$7,192,291",
4858,10/19/2012,The Sessions,"$1,000,000","$11,495,204","$6,002,451",
4859,4/4/2008,Shine a Light,"$1,000,000","$16,173,879","$5,505,267",
4860,3/23/2012,October Baby,"$1,000,000","$5,391,992","$5,355,847",
4861,12/9/2014,The Skeleton Twins,"$1,000,000","$5,797,192","$5,284,309",
4862,6/14/2013,20 Feet From Stardom,"$1,000,000","$5,892,466","$4,946,250",
4863,12/6/2009,"Food, Inc.","$1,000,000","$4,731,944","$4,417,674",
4864,8/21/1998,"Next Stop, Wonderland","$1,000,000","$3,465,703","$3,395,581",
4865,6/6/2014,Obvious Child,"$1,000,000","$3,324,070","$3,122,616",
4866,10/21/2011,Martha Marcy May Marlene,"$1,000,000","$5,438,911","$2,981,038",
4867,3/8/2005,Junebug,"$1,000,000","$3,553,253","$2,678,010",
4868,1/8/2008,Frozen River,"$1,000,000","$6,030,129","$2,511,476",
4869,11/21/2001,The Sidewalks of New York,"$1,000,000","$3,575,308","$2,402,459",
4870,4/24/1998,Two Girls and a Guy,"$1,000,000","$2,315,026","$2,057,193",
4871,9/29/2000,The Broken Hearts Club: A Romantic Comedy,"$1,000,000","$2,022,442","$1,744,858",
4872,6/28/2006,Who Killed the Electric Car?,"$1,000,000","$1,849,392","$1,678,874",
4873,9/18/2009,The Secrets of Jonathan Sperry,"$1,000,000","$1,355,079","$1,355,079",
4874,7/17/1996,Walking and Talking,"$1,000,000","$1,615,787","$1,287,480",
4875,9/19/2003,Bubba Ho-Tep,"$1,000,000","$1,492,895","$1,239,183",
4876,7/12/2001,No Man's Land,"$1,000,000","$2,684,207","$1,067,481",
4877,9/10/1998,Slam,"$1,000,000","$1,087,521","$1,009,819",
4878,6/4/2001,Brigham City,"$1,000,000","$852,206","$852,206",
4879,1/12/2000,Panic,"$1,000,000","$1,425,707","$779,137",
4880,9/5/2014,Palo Alto,"$1,000,000","$1,156,309","$767,732",
4881,8/9/2000,Fiza,"$1,000,000","$1,179,462","$623,791",
4882,3/2/2010,Ajami,"$1,000,000","$2,721,096","$621,859",
4883,10/23/1998,Orgazmo,"$1,000,000","$627,287","$582,024",
